type,year,country,cost,diagnoses_count,patient_count
mental hospital,2016,Portugal,47,89,51
mental hospital,2016,Paraguay,1,70,48
mental hospital,2016,El Salvador,32,57,44
mental hospital,2016,Libya,22,59,67
mental hospital,2016,Morocco,23,76,23
mental hospital,2016,Yemen,19,88,68
mental hospital,2016,Mongolia,48,61,34
mental hospital,2016,Tajikistan,7,92,23
mental hospital,2016,Qatar,30,53,44
mental hospital,2016,Costa Rica,24,81,6
mental hospital,2016,Viet Nam,15,50,28
mental hospital,2016,Algeria,49,81,8
mental hospital,2016,Gabon,47,51,34
mental hospital,2016,Jordan,41,92,32
mental hospital,2016,Guinea-Bissau,29,94,58
mental hospital,2016,Zambia,47,75,53
mental hospital,2016,Albania,49,70,37
mental hospital,2016,Brazil,48,50,48
mental hospital,2016,Bolivia (Plurinational State of),28,59,35
mental hospital,2016,Saudi Arabia,41,73,25
mental hospital,2016,Uzbekistan,26,52,36
mental hospital,2016,Kyrgyzstan,3,66,54
mental hospital,2016,Azerbaijan,49,75,30
mental hospital,2016,Fiji,3,70,25
mental hospital,2016,South Africa,23,66,36
mental hospital,2016,Guyana,35,92,60
mental hospital,2016,Poland,17,87,60
mental hospital,2016,Lithuania,18,90,26
mental hospital,2016,Ukraine,20,87,16
mental hospital,2016,Estonia,10,52,72
mental hospital,2016,Israel,20,61,57
mental hospital,2016,Bulgaria,2,74,11
mental hospital,2016,Croatia,0,89,13
mental hospital,2016,Cuba,46,51,4
mental hospital,2016,Romania,36,77,38
mental hospital,2016,United States of America,25,71,13
mental hospital,2016,Belarus,45,70,32
mental hospital,2016,Georgia,9,71,72
mental hospital,2016,Slovenia,48,78,20
mental hospital,2016,Iceland,17,55,41
mental hospital,2016,Montenegro,1,95,40
mental hospital,2016,Uruguay,49,88,8
mental hospital,2016,Republic of Korea,34,58,67
mental hospital,2016,Samoa,2,68,72
mental hospital,2016,Saint Lucia,41,72,0
mental hospital,2016,Norway,4,72,2
mental hospital,2016,Ireland,49,53,70
mental hospital,2016,Argentina,11,76,5
mental hospital,2016,Grenada,37,91,19
mental hospital,2016,Antigua and Barbuda,36,94,4
mental hospital,2016,Seychelles,4,70,11
mental hospital,2016,Colombia,46,50,0
mental hospital,2016,Japan,39,50,26
mental hospital,2015,United Republic of Tanzania,14,74,7
mental hospital,2015,Jamaica,39,50,33
mental hospital,2015,China,42,68,52
mental hospital,2015,Australia,48,62,20
mental hospital,2015,Republic of Moldova,33,51,69
mental hospital,2015,Bosnia and Herzegovina,18,75,1
mental hospital,2015,Lebanon,45,89,56
mental hospital,2015,Cyprus,2,84,5
mental hospital,2015,Austria,4,81,49
mental hospital,2015,Russian Federation,14,74,36
mental hospital,2015,Czechia,9,64,48
mental hospital,2015,Luxembourg,32,73,66
mental hospital,2015,Spain,36,96,61
mental hospital,2015,Netherlands,43,67,37
mental hospital,2015,Bahamas,47,59,22
mental hospital,2015,Latvia,12,64,65
mental hospital,2015,Germany,42,61,24
mental hospital,2015,Barbados,20,66,3
mental hospital,2015,Switzerland,49,91,59
mental hospital,2015,Kiribati,29,98,15
mental hospital,2014,Honduras,13,92,14
mental hospital,2013,Belgium,7,86,3
outpatient facility,2017,Somalia,18,17,19
outpatient facility,2017,Burundi,43,83,32
outpatient facility,2017,Sierra Leone,23,88,37
outpatient facility,2017,Ethiopia,5,18,22
outpatient facility,2017,The former Yugoslav Republic of Macedonia,6,92,17
outpatient facility,2017,Serbia,31,2,53
outpatient facility,2017,Botswana,30,59,62
outpatient facility,2017,Canada,15,3,47
outpatient facility,2017,Equatorial Guinea,22,98,6
outpatient facility,2017,Trinidad and Tobago,16,0,6
outpatient facility,2017,Nicaragua,36,85,36
outpatient facility,2017,Bahrain,4,48,26
outpatient facility,2017,Sri Lanka,25,76,68
outpatient facility,2017,Maldives,22,77,42
outpatient facility,2017,Mauritius,45,47,29
outpatient facility,2017,Iraq,41,85,55
outpatient facility,2017,Saint Vincent and the Grenadines,6,44,68
outpatient facility,2017,Iran (Islamic Republic of),16,69,6
outpatient facility,2017,Niue,3,90,30
outpatient facility,2017,Finland,15,8,54
outpatient facility,2016,Afghanistan,20,17,36
outpatient facility,2016,Chad,47,16,34
outpatient facility,2016,South Sudan,37,24,70
outpatient facility,2016,Bolivia (Plurinational State of),17,65,47
outpatient facility,2016,Viet Nam,10,59,66
outpatient facility,2016,Côte d’Ivoire,44,13,29
outpatient facility,2016,Congo,46,19,20
outpatient facility,2016,Egypt,48,33,68
outpatient facility,2016,Senegal,8,27,67
outpatient facility,2016,Togo,5,80,24
outpatient facility,2016,Algeria,25,67,11
outpatient facility,2016,Ukraine,41,63,13
outpatient facility,2016,Gabon,23,62,6
outpatient facility,2016,Bangladesh,9,87,41
outpatient facility,2016,Guinea-Bissau,26,65,25
outpatient facility,2016,Zimbabwe,18,94,47
outpatient facility,2016,Yemen,6,66,25
outpatient facility,2016,Mongolia,36,27,31
outpatient facility,2016,Kenya,48,33,14
outpatient facility,2016,Myanmar,41,39,34
outpatient facility,2016,Namibia,49,5,31
outpatient facility,2016,Uzbekistan,33,71,61
outpatient facility,2016,Nepal,6,71,21
outpatient facility,2016,South Africa,15,7,5
outpatient facility,2016,Belarus,32,66,13
outpatient facility,2016,Haiti,0,27,4
outpatient facility,2016,Mexico,44,74,74
outpatient facility,2016,Azerbaijan,3,65,42
outpatient facility,2016,Tajikistan,46,47,4
outpatient facility,2016,Peru,12,19,12
outpatient facility,2016,India,22,83,9
outpatient facility,2016,Turkey,36,55,26
outpatient facility,2016,Zambia,11,99,65
outpatient facility,2016,Philippines,39,63,24
outpatient facility,2016,Singapore,25,74,2
outpatient facility,2016,Eritrea,11,18,44
outpatient facility,2016,Ecuador,29,97,63
outpatient facility,2016,Guyana,26,54,12
outpatient facility,2016,Colombia,21,81,1
outpatient facility,2016,Bulgaria,30,73,61
outpatient facility,2016,Malaysia,19,53,17
outpatient facility,2016,Qatar,4,3,9
outpatient facility,2016,Morocco,43,49,65
outpatient facility,2016,United States of America,27,74,59
outpatient facility,2016,Rwanda,46,88,66
outpatient facility,2016,Albania,34,17,27
outpatient facility,2016,Jordan,46,83,74
outpatient facility,2016,Sao Tome and Principe,20,22,17
outpatient facility,2016,Saudi Arabia,11,79,39
outpatient facility,2016,United Arab Emirates,45,44,40
outpatient facility,2016,Liberia,10,65,12
outpatient facility,2016,Georgia,9,35,66
outpatient facility,2016,Portugal,13,96,34
outpatient facility,2016,El Salvador,41,18,39
outpatient facility,2016,Mozambique,39,6,16
outpatient facility,2016,Chile,23,80,1
outpatient facility,2016,Romania,10,33,43
outpatient facility,2016,Tonga,45,50,17
outpatient facility,2016,Uganda,7,68,62
outpatient facility,2016,Cambodia,3,31,19
outpatient facility,2016,Kyrgyzstan,0,71,43
outpatient facility,2016,Thailand,29,74,55
outpatient facility,2016,Norway,35,22,0
outpatient facility,2016,Greece,5,34,27
outpatient facility,2016,Armenia,47,26,51
outpatient facility,2016,Paraguay,1,23,55
outpatient facility,2016,Guatemala,25,51,9
outpatient facility,2016,Brazil,45,51,12
outpatient facility,2016,Niger,35,79,50
outpatient facility,2016,Costa Rica,32,92,15
outpatient facility,2016,Argentina,32,86,31
outpatient facility,2016,Dominican Republic,7,57,69
outpatient facility,2016,Republic of Korea,25,64,29
outpatient facility,2016,Grenada,22,80,48
outpatient facility,2016,Samoa,35,24,41
outpatient facility,2016,Estonia,37,57,21
outpatient facility,2016,Saint Lucia,25,63,16
outpatient facility,2016,Seychelles,35,62,59
outpatient facility,2016,Belize,24,46,41
outpatient facility,2016,Syrian Arab Republic,44,65,23
outpatient facility,2016,Pakistan,33,48,27
outpatient facility,2016,Ghana,11,53,52
outpatient facility,2016,Brunei Darussalam,24,46,47
outpatient facility,2016,Vanuatu,28,53,73
outpatient facility,2016,Panama,40,19,5
outpatient facility,2016,Cuba,46,12,39
outpatient facility,2016,Iceland,30,34,15
outpatient facility,2016,Croatia,32,4,49
outpatient facility,2016,Poland,17,64,38
outpatient facility,2016,Fiji,20,96,8
outpatient facility,2016,Bhutan,27,15,45
outpatient facility,2016,Ireland,49,97,37
outpatient facility,2016,Lithuania,31,95,48
outpatient facility,2016,Monaco,21,39,70
outpatient facility,2016,Cook Islands,18,93,6
outpatient facility,2016,Slovenia,33,86,24
outpatient facility,2016,Timor-Leste,39,6,23
outpatient facility,2016,Japan,16,17,44
outpatient facility,2016,Hungary,18,67,61
outpatient facility,2016,Nauru,25,58,23
outpatient facility,2015,United Republic of Tanzania,22,34,29
outpatient facility,2015,Germany,1,45,24
outpatient facility,2015,Bahamas,41,97,65
outpatient facility,2015,Lebanon,25,34,15
outpatient facility,2015,Cyprus,0,75,39
outpatient facility,2015,Kiribati,33,81,16
outpatient facility,2015,Republic of Moldova,45,60,35
outpatient facility,2015,Bosnia and Herzegovina,28,2,35
outpatient facility,2015,Czechia,28,80,70
outpatient facility,2015,Spain,14,5,62
outpatient facility,2015,Russian Federation,30,31,50
outpatient facility,2015,Latvia,8,52,28
outpatient facility,2015,Luxembourg,42,39,68
outpatient facility,2015,Austria,3,61,25
outpatient facility,2015,Italy,35,14,36
outpatient facility,2015,Barbados,30,64,63
outpatient facility,2015,Jamaica,30,98,57
outpatient facility,2014,Honduras,44,78,68
outpatient facility,2013,Mauritania,9,76,0
mental health unit,2017,Nicaragua,7,50,53
mental health unit,2017,Central African Republic,16,77,56
mental health unit,2017,Ethiopia,15,55,58
mental health unit,2017,Iraq,18,60,46
mental health unit,2017,Mauritius,30,83,1
mental health unit,2017,Comoros,4,52,23
mental health unit,2017,Sri Lanka,0,89,74
mental health unit,2017,Iran (Islamic Republic of),42,72,23
mental health unit,2017,Botswana,5,72,41
mental health unit,2017,Maldives,48,53,20
mental health unit,2017,Eswatini,40,62,56
mental health unit,2017,Canada,30,82,43
mental health unit,2017,Serbia,25,96,56
mental health unit,2017,Cabo Verde,15,54,38
mental health unit,2017,The former Yugoslav Republic of Macedonia,20,64,8
mental health unit,2017,Finland,11,57,24
mental health unit,2017,Saint Kitts and Nevis,47,78,37
mental health unit,2016,Cambodia,8,77,33
mental health unit,2016,Guatemala,0,54,20
mental health unit,2016,Mali,39,58,72
mental health unit,2016,Mexico,4,90,66
mental health unit,2016,Chad,8,91,11
mental health unit,2016,Guinea,39,52,4
mental health unit,2016,South Sudan,26,98,25
mental health unit,2016,Bolivia (Plurinational State of),1,81,10
mental health unit,2016,Haiti,13,99,24
mental health unit,2016,Afghanistan,5,61,19
mental health unit,2016,Côte d’Ivoire,41,80,39
mental health unit,2016,Saudi Arabia,26,82,71
mental health unit,2016,Uzbekistan,8,78,32
mental health unit,2016,Syrian Arab Republic,14,70,20
mental health unit,2016,Viet Nam,7,65,25
mental health unit,2016,Azerbaijan,27,97,21
mental health unit,2016,Zimbabwe,41,94,15
mental health unit,2016,Yemen,24,81,5
mental health unit,2016,Senegal,15,77,73
mental health unit,2016,India,15,91,67
mental health unit,2016,Paraguay,9,59,10
mental health unit,2016,Kenya,9,74,15
mental health unit,2016,Uganda,13,54,31
mental health unit,2016,Jordan,12,50,7
mental health unit,2016,Niger,23,72,56
mental health unit,2016,Bangladesh,42,97,4
mental health unit,2016,Qatar,26,91,63
mental health unit,2016,Mozambique,25,61,66
mental health unit,2016,Congo,12,78,33
mental health unit,2016,Costa Rica,45,90,21
mental health unit,2016,Myanmar,33,82,66
mental health unit,2016,Madagascar,1,74,29
mental health unit,2016,Slovenia,27,90,29
mental health unit,2016,Ukraine,17,59,73
mental health unit,2016,United Arab Emirates,34,72,61
mental health unit,2016,Peru,0,77,72
mental health unit,2016,Zambia,9,73,8
mental health unit,2016,Belarus,43,67,59
mental health unit,2016,Nepal,9,83,21
mental health unit,2016,Liberia,46,62,65
mental health unit,2016,Albania,42,67,43
mental health unit,2016,Algeria,5,57,4
mental health unit,2016,Armenia,35,53,6
mental health unit,2016,Singapore,5,89,0
mental health unit,2016,South Africa,26,78,51
mental health unit,2016,Dominican Republic,49,76,59
mental health unit,2016,Georgia,41,88,2
mental health unit,2016,Morocco,16,62,66
mental health unit,2016,Timor-Leste,42,70,34
mental health unit,2016,Namibia,20,54,64
mental health unit,2016,Philippines,7,97,15
mental health unit,2016,Indonesia,37,92,43
mental health unit,2016,Brazil,3,84,31
mental health unit,2016,Togo,21,60,12
mental health unit,2016,Bhutan,21,51,62
mental health unit,2016,Guyana,46,97,40
mental health unit,2016,Tajikistan,26,55,47
mental health unit,2016,Israel,14,61,57
mental health unit,2016,Kyrgyzstan,42,59,27
mental health unit,2016,Cuba,44,72,59
mental health unit,2016,Malaysia,18,70,65
mental health unit,2016,Thailand,17,95,53
mental health unit,2016,Chile,28,63,46
mental health unit,2016,Ecuador,9,81,64
mental health unit,2016,Eritrea,40,54,54
mental health unit,2016,Colombia,20,84,13
mental health unit,2016,El Salvador,20,71,6
mental health unit,2016,Poland,5,65,70
mental health unit,2016,Panama,38,72,44
mental health unit,2016,Burkina Faso,13,62,29
mental health unit,2016,Portugal,21,65,65
mental health unit,2016,Bulgaria,24,69,64
mental health unit,2016,Montenegro,3,96,28
mental health unit,2016,Greece,32,82,0
mental health unit,2016,Fiji,33,91,38
mental health unit,2016,United States of America,19,66,30
mental health unit,2016,Republic of Korea,9,65,24
mental health unit,2016,Romania,14,94,66
mental health unit,2016,Rwanda,29,62,73
mental health unit,2016,Pakistan,27,61,43
mental health unit,2016,Japan,20,98,60
mental health unit,2016,Turkey,10,90,34
mental health unit,2016,Mongolia,8,95,15
mental health unit,2016,Brunei Darussalam,12,81,11
mental health unit,2016,Norway,38,50,33
mental health unit,2016,Sao Tome and Principe,41,75,44
mental health unit,2016,Croatia,2,82,9
mental health unit,2016,Samoa,7,58,17
mental health unit,2016,New Zealand,23,69,24
mental health unit,2016,Ireland,2,74,48
mental health unit,2016,Estonia,31,76,72
mental health unit,2016,Lithuania,10,78,45
mental health unit,2016,Uruguay,14,92,6
mental health unit,2016,Vanuatu,0,79,0
mental health unit,2016,Grenada,25,66,17
mental health unit,2016,Tonga,40,95,29
mental health unit,2016,Argentina,36,59,26
mental health unit,2016,Ghana,2,80,20
mental health unit,2016,Belize,7,72,23
mental health unit,2016,Monaco,20,57,43
mental health unit,2016,Hungary,21,96,19
mental health unit,2016,Iceland,18,53,7
mental health unit,2015,United Republic of Tanzania,38,86,11
mental health unit,2015,Jamaica,21,63,69
mental health unit,2015,Republic of Moldova,42,78,65
mental health unit,2015,Lebanon,12,61,49
mental health unit,2015,Latvia,26,68,17
mental health unit,2015,Cyprus,12,84,57
mental health unit,2015,Switzerland,20,76,74
mental health unit,2015,Bahamas,9,94,0
mental health unit,2015,Austria,16,60,64
mental health unit,2015,Czechia,11,83,15
mental health unit,2015,Barbados,9,61,68
mental health unit,2015,Germany,32,58,44
mental health unit,2015,Bosnia and Herzegovina,9,86,55
mental health unit,2015,Italy,37,77,49
mental health unit,2015,Australia,22,99,29
mental health unit,2015,Luxembourg,49,89,72
mental health unit,2015,Spain,47,74,46
mental health unit,2013,Mauritania,1,71,42
mental health unit,2013,Belgium,49,73,53
day treatment facility,2017,Iraq,10,93,8
day treatment facility,2017,Burundi,12,93,31
day treatment facility,2017,Botswana,3,40,42
day treatment facility,2017,Trinidad and Tobago,11,52,73
day treatment facility,2017,Sri Lanka,1,49,35
day treatment facility,2017,Iran (Islamic Republic of),36,95,68
day treatment facility,2017,Serbia,15,27,55
day treatment facility,2017,Bahrain,0,4,69
day treatment facility,2017,Saint Kitts and Nevis,35,42,66
day treatment facility,2017,Marshall Islands,21,17,18
day treatment facility,2017,Maldives,8,1,66
day treatment facility,2017,Saint Vincent and the Grenadines,35,8,21
day treatment facility,2017,Niue,14,76,19
day treatment facility,2016,Philippines,10,14,59
day treatment facility,2016,Madagascar,11,85,40
day treatment facility,2016,Zimbabwe,26,74,27
day treatment facility,2016,Thailand,5,58,6
day treatment facility,2016,Egypt,21,19,55
day treatment facility,2016,Paraguay,35,64,56
day treatment facility,2016,Peru,41,81,38
day treatment facility,2016,Ghana,31,11,44
day treatment facility,2016,Dominican Republic,8,9,47
day treatment facility,2016,Niger,7,76,22
day treatment facility,2016,Hungary,9,47,41
day treatment facility,2016,Mozambique,20,52,44
day treatment facility,2016,Côte d’Ivoire,1,4,2
day treatment facility,2016,India,7,59,25
day treatment facility,2016,Panama,18,36,25
day treatment facility,2016,Armenia,4,64,57
day treatment facility,2016,Kyrgyzstan,18,49,23
day treatment facility,2016,Uzbekistan,43,11,5
day treatment facility,2016,Mexico,34,92,54
day treatment facility,2016,Ireland,2,89,59
day treatment facility,2016,Azerbaijan,0,60,46
day treatment facility,2016,Georgia,46,82,70
day treatment facility,2016,Morocco,29,88,8
day treatment facility,2016,Fiji,8,18,22
day treatment facility,2016,Qatar,30,51,7
day treatment facility,2016,Costa Rica,22,68,70
day treatment facility,2016,Republic of Korea,2,26,47
day treatment facility,2016,Singapore,33,55,10
day treatment facility,2016,Belarus,18,43,12
day treatment facility,2016,Belize,17,47,28
day treatment facility,2016,Romania,8,95,8
day treatment facility,2016,Chile,9,66,7
day treatment facility,2016,Cuba,5,15,56
day treatment facility,2016,Portugal,13,71,39
day treatment facility,2016,Samoa,44,65,51
day treatment facility,2016,Uruguay,30,98,51
day treatment facility,2016,Brunei Darussalam,41,20,12
day treatment facility,2016,Poland,32,19,7
day treatment facility,2016,Croatia,49,59,36
day treatment facility,2016,Norway,8,11,55
day treatment facility,2016,Seychelles,37,34,25
day treatment facility,2016,Greece,43,43,43
day treatment facility,2016,Ukraine,46,3,72
day treatment facility,2016,Estonia,22,59,58
day treatment facility,2016,Slovenia,37,72,66
day treatment facility,2016,Ecuador,33,89,16
day treatment facility,2016,Malaysia,37,34,6
day treatment facility,2016,Japan,40,99,40
day treatment facility,2016,Monaco,34,41,66
day treatment facility,2016,Cook Islands,36,70,3
day treatment facility,2016,Bulgaria,1,52,39
day treatment facility,2015,Lebanon,37,59,42
day treatment facility,2015,Jamaica,28,26,13
day treatment facility,2015,Russian Federation,7,28,65
day treatment facility,2015,Bahamas,29,73,49
day treatment facility,2015,Cyprus,45,30,56
day treatment facility,2015,Luxembourg,16,97,68
day treatment facility,2015,Australia,33,25,32
day treatment facility,2015,Italy,22,81,45
day treatment facility,2015,Austria,42,38,20
day treatment facility,2015,Latvia,19,39,43
