Label,Vulnerability Name,Package Name,Package Version,Type,Publish Date
H,Sandbox Bypass,org.jenkins-ci.plugins:script-security,"[,1.71)",Maven,"1,Mar,2020"
M,Cross-site Request Forgery (CSRF),org.jenkins-ci.plugins:p4,"[,1.10.11)",Maven,"1,Mar,2020"
H,Command Injection,io.jenkins.plugins:cryptomove,"[0,]",Maven,"1,Mar,2020"
L,Credential Exposure,org.jenkins-ci.plugins:repository-connector,"[0,]",Maven,"1,Mar,2020"
L,Credential Exposure,org.jenkins-ci.plugins:backlog,"[0,]",Maven,"1,Mar,2020"
L,Credential Exposure,org.jenkins-ci.plugins:logstash,"[,2.3.2)",Maven,"1,Mar,2020"
,,,,,
M,Improper Input Validation,tensorflow,"[0, 1.15.5),[2.0.0, 2.0.4),[0, 2.1.3),[2.2.0, 2.2.2),[2.3.0, 2.3.2),[2.4.0rc0, 2.4.0)",pip,"1,Dec,2020"
H,Denial of Service (DoS),github.com/ethereum/go-ethereum/les,&lt;1.9.25,Go,"1,Dec,2020"
H,Cross-site Scripting (XSS),getgrav/grav,&lt;1.6.30,Composer,"1,Dec,2020"
H,Denial of Service (DoS),i18n,"[,2.1.15)",NuGet,"1,Dec,2020"
C,Command Injection,corenlp-js-prefab,*,npm,"1,Dec,2020"
C,Command Injection,corenlp-js-interface,*,npm,"1,Dec,2020"
L,Improper Input Validation,tensorflow-gpu,"[,2.4.0rc0)",pip,"1,Dec,2020"
L,Improper Input Validation,tensorflow-cpu,"[,2.4.0rc0)",pip,"1,Dec,2020"
L,Improper Input Validation,tensorflow,"[,2.4.0rc0)",pip,"1,Dec,2020"
L,Improper Input Validation,tensorflow-gpu,"[,1.15.5),[2.0.0, 2.0.4),[2.1.0, 2.1.3),[2.2.0, 2.2.2),[2.3.0, 2.3.2)",pip,"1,Dec,2020"
L,Improper Input Validation,tensorflow-cpu,"[, 2.1.3),[2.2.0, 2.2.2),[2.3.0, 2.3.2)",pip,"1,Dec,2020"
L,Improper Input Validation,tensorflow,"[,1.15.5),[2.0.0, 2.0.4),[2.1.0, 2.1.3),[2.2.0, 2.2.2),[2.3.0, 2.3.2)",pip,"1,Dec,2020"
L,Denial of Service (DoS),tensorflow-gpu,"[,1.15.5),[2.0.0, 2.0.4),[2.1.0, 2.1.3),[2.2.0, 2.2.2),[2.3.0, 2.3.2)",pip,"1,Dec,2020"
L,Denial of Service (DoS),tensorflow-cpu,"[, 2.1.3),[2.2.0, 2.2.2),[2.3.0, 2.3.2)",pip,"1,Dec,2020"
L,Denial of Service (DoS),tensorflow,"[,1.15.5),[2.0.0, 2.0.4),[2.1.0, 2.1.3),[2.2.0, 2.2.2),[2.3.0, 2.3.2)",pip,"1,Dec,2020"
H,Uninitialized Memory Exposure,tensorflow-gpu,"[,1.15.5),[2.0.0, 2.0.4),[2.1.0, 2.1.3),[2.2.0, 2.2.2),[2.3.0, 2.3.2)",pip,"1,Dec,2020"
H,Uninitialized Memory Exposure,tensorflow-cpu,"[, 2.1.3),[2.2.0, 2.2.2),[2.3.0, 2.3.2)",pip,"1,Dec,2020"
H,Uninitialized Memory Exposure,tensorflow,"[,1.15.5),[2.0.0, 2.0.4),[2.1.0, 2.1.3),[2.2.0, 2.2.2),[2.3.0, 2.3.2)",pip,"1,Dec,2020"
M,Cross-site Scripting (XSS),apache-airflow,"[,2.0.2)",pip,"1,Dec,2020"
H,Out-of-bounds Read,tensorflow-gpu,"[2.4.0rc0,2.4.0)",pip,"1,Dec,2020"
H,Out-of-bounds Read,tensorflow-cpu,"[2.4.0rc0,2.4.0)",pip,"1,Dec,2020"
H,Out-of-bounds Read,tensorflow,"[2.4.0rc0,2.4.0)",pip,"1,Dec,2020"
H,Prototype Pollution,ini,&lt;1.3.6,npm,"1,Dec,2020"
H,Prototype Pollution,org.webjars.npm:ini,"[0,]",Maven,"1,Dec,2020"
H,Prototype Pollution,org.webjars.bowergithub.npm:ini,"[0,]",Maven,"1,Dec,2020"
C,Authentication Bypass,org.apache.shiro:shiro-spring-boot-web-starter,"[0, 1.7.0)",Maven,"1,Dec,2020"
M,Memory Corruption,microsoft.chakracore,"[,1.11.24)",NuGet,"1,Dec,2020"
M,Denial of Service (DoS),matrix-synapse,"[,1.23.1)",pip,"1,Dec,2020"
M,Information Exposure,jupyterhub-systemdspawner,"[,0.15.0)",pip,"1,Dec,2020"
H,Improper Access Control,github.com/openshift/cluster-ingress-operator/pkg/operator/controller/ingress,*,Go,"1,Dec,2020"
,,,,,
H,Cross-site Scripting (XSS),ckeditor4-dev,&lt;4.15.1,npm,"0,Dec,2020"
M,Cross-site Scripting (XSS),s-cart/core,&lt;4.4,Composer,"0,Dec,2020"
H,Information Disclosure,org.codehaus.groovy:groovy,"[, 2.4.21),[2.5.0, 2.5.14),[3.0.0, 3.0.7),[4.0.0-alpha-1, 4.0.0-alpha-2)",Maven,"0,Dec,2020"
M,Regular Expression Denial of Service (ReDoS),highlight.js,&gt;&#x3D;9.0.0 &lt;10.4.1,npm,"0,Dec,2020"
M,Regular Expression Denial of Service (ReDoS),org.webjars.npm:highlight.js,"[9.0.0,10.4.1)",Maven,"0,Dec,2020"
M,Regular Expression Denial of Service (ReDoS),org.webjars.bowergithub.highlightjs:highlight.js,"[9.0.0,10.4.1)",Maven,"0,Dec,2020"
H,Cross-site Scripting (XSS),cabot,"[0,]",pip,"0,Dec,2020"
H,Cross-site Scripting (XSS),html-purify,*,npm,"0,Dec,2020"
M,Insecure Permissions,io.jenkins.plugins:chaos-monkey,"[,0.4)",Maven,"0,Dec,2020"
M,Insecure Permissions,io.jenkins.plugins:chaos-monkey,"[,0.4.1)",Maven,"0,Dec,2020"
H,Cross-site Request Forgery (CSRF),org.jenkins-ci.plugins:shelve-project-plugin,"[,3.1)",Maven,"0,Dec,2020"
H,Arbitrary File Write via Archive Extraction (Zip Slip),github.com/hashicorp/go-slug,&lt;0.5.0,Go,"0,Dec,2020"
M,Missing Release of Memory after Effective Lifetime,io.opentracing.contrib:opentracing-interceptors,"[,0.1.0)",Maven,"0,Dec,2020"
M,Information Exposure,org.apache.tomcat.embed:tomcat-embed-core,"[8.5.0, 8.5.60),[9.0.0, 9.0.40),[10.0.0-M1, 10.0.0-M10)",Maven,"0,Dec,2020"
H,SQL Injection,prestashop/productcomments,"&gt;&#x3D;4.0.0, &lt;4.2.1",Composer,"0,Dec,2020"
H,XML External Entity (XXE) Injection,com.fasterxml.jackson.core:jackson-databind,"[2.6.0,2.6.7.4),[2.9.0,2.9.10.7),[2.10.0, 2.10.5.1)",Maven,"0,Dec,2020"
M,Integer Overflow or Wraparound,imagemagick,&gt;&#x3D;0.0.0,cocoapods,"0,Dec,2020"
H,XML External Entity (XXE) Injection,org.jenkins-ci.plugins:cvs,"[,2.17)",Maven,"0,Dec,2020"
H,Arbitrary Code Execution,drupal/drupal,&gt;&#x3D;0.0.0,Composer,"0,Dec,2020"
H,Arbitrary Code Execution,drupal/core-recommended,"&lt;8.8.12,&gt;&#x3D;8.9.0, &lt;8.9.10,&gt;&#x3D;9.0.0, &lt;9.0.9",Composer,"0,Dec,2020"
H,Arbitrary Code Execution,drupal/core,"&lt;8.8.12,&gt;&#x3D;8.9.0, &lt;8.9.10,&gt;&#x3D;9.0.0, &lt;9.0.9",Composer,"0,Dec,2020"
H,Prototype Pollution,set-in,&lt;2.0.1,npm,"0,Dec,2020"
M,Prototype Pollution,keyget,&lt;2.3.0,npm,"0,Dec,2020"
M,Improper Input Validation,org.apache.httpcomponents:httpclient,"[,4.5.13)",Maven,"0,Dec,2020"
M,Improper Input Validation,org.apache.httpcomponents.client5:httpclient5,"[5.0.0,5.0.3)",Maven,"0,Dec,2020"
H,Improper Authorization,pimcore/pimcore,&lt;6.8.5,Composer,"0,Dec,2020"
M,Cross-site Scripting (XSS),mediawiki/core,&gt;&#x3D;0.0.0,Composer,"0,Dec,2020"
H,Insecure Permissions,amundsen-frontend,"[, 3.1.0)",pip,"0,Dec,2020"
M,Cross-site Scripting (XSS),mediawiki/core,&gt;&#x3D;0.0.0,Composer,"0,Dec,2020"
H,Information Exposure,mediawiki/core,&gt;&#x3D;0.0.0,Composer,"0,Dec,2020"
,,,,,
L,Denial of Service (DoS),tensorflow,"[, 2.1.4),[2.2.0, 2.2.3),[2.3.0, 2.3.3),[2.4.0, 2.4.2)",pip,"2,May,2021"
L,Denial of Service (DoS),tensorflow-gpu,"[, 2.1.4),[2.2.0, 2.2.3),[2.3.0, 2.3.3),[2.4.0, 2.4.2)",pip,"2,May,2021"
L,Denial of Service (DoS),tensorflow-cpu,"[, 2.1.4),[2.2.0, 2.2.3),[2.3.0, 2.3.3),[2.4.0, 2.4.2)",pip,"2,May,2021"
L,Denial of Service (DoS),tensorflow,"[, 2.1.4),[2.2.0, 2.2.3),[2.3.0, 2.3.3),[2.4.0, 2.4.2)",pip,"2,May,2021"
L,Denial of Service (DoS),tensorflow-gpu,"[, 2.1.4),[2.2.0, 2.2.3),[2.3.0, 2.3.3),[2.4.0, 2.4.2)",pip,"2,May,2021"
L,Denial of Service (DoS),tensorflow-cpu,"[, 2.1.4),[2.2.0, 2.2.3),[2.3.0, 2.3.3),[2.4.0, 2.4.2)",pip,"2,May,2021"
L,Denial of Service (DoS),tensorflow,"[, 2.1.4),[2.2.0, 2.2.3),[2.3.0, 2.3.3),[2.4.0, 2.4.2)",pip,"2,May,2021"
L,Buffer Overflow,tensorflow-gpu,"[, 2.1.4),[2.2.0, 2.2.3),[2.3.0, 2.3.3),[2.4.0, 2.4.2)",pip,"2,May,2021"
L,Buffer Overflow,tensorflow-cpu,"[, 2.1.4),[2.2.0, 2.2.3),[2.3.0, 2.3.3),[2.4.0, 2.4.2)",pip,"2,May,2021"
L,Buffer Overflow,tensorflow,"[, 2.1.4),[2.2.0, 2.2.3),[2.3.0, 2.3.3),[2.4.0, 2.4.2)",pip,"2,May,2021"
L,Denial of Service (DoS),tensorflow-gpu,"[, 2.1.4),[2.2.0, 2.2.3),[2.3.0, 2.3.3),[2.4.0, 2.4.2)",pip,"2,May,2021"
L,Denial of Service (DoS),tensorflow-cpu,"[, 2.1.4),[2.2.0, 2.2.3),[2.3.0, 2.3.3),[2.4.0, 2.4.2)",pip,"2,May,2021"
L,Denial of Service (DoS),tensorflow,"[, 2.1.4),[2.2.0, 2.2.3),[2.3.0, 2.3.3),[2.4.0, 2.4.2)",pip,"2,May,2021"
L,Buffer Overflow,tensorflow-gpu,"[, 2.1.4),[2.2.0, 2.2.3),[2.3.0, 2.3.3),[2.4.0, 2.4.2)",pip,"2,May,2021"
L,Buffer Overflow,tensorflow-cpu,"[, 2.1.4),[2.2.0, 2.2.3),[2.3.0, 2.3.3),[2.4.0, 2.4.2)",pip,"2,May,2021"
L,Buffer Overflow,tensorflow,"[, 2.1.4),[2.2.0, 2.2.3),[2.3.0, 2.3.3),[2.4.0, 2.4.2)",pip,"2,May,2021"
L,Denial of Service (DoS),tensorflow-gpu,"[, 2.1.4),[2.2.0, 2.2.3),[2.3.0, 2.3.3),[2.4.0, 2.4.2)",pip,"2,May,2021"
L,Denial of Service (DoS),tensorflow-cpu,"[, 2.1.4),[2.2.0, 2.2.3),[2.3.0, 2.3.3),[2.4.0, 2.4.2)",pip,"2,May,2021"
L,Denial of Service (DoS),tensorflow,"[, 2.1.4),[2.2.0, 2.2.3),[2.3.0, 2.3.3),[2.4.0, 2.4.2)",pip,"2,May,2021"
L,Buffer Overflow,tensorflow-gpu,"[, 2.1.4),[2.2.0, 2.2.3),[2.3.0, 2.3.3),[2.4.0, 2.4.2)",pip,"2,May,2021"
L,Buffer Overflow,tensorflow-cpu,"[, 2.1.4),[2.2.0, 2.2.3),[2.3.0, 2.3.3),[2.4.0, 2.4.2)",pip,"2,May,2021"
L,Buffer Overflow,tensorflow,"[, 2.1.4),[2.2.0, 2.2.3),[2.3.0, 2.3.3),[2.4.0, 2.4.2)",pip,"2,May,2021"
L,Buffer Overflow,tensorflow-gpu,"[, 2.1.4),[2.2.0, 2.2.3),[2.3.0, 2.3.3),[2.4.0, 2.4.2)",pip,"2,May,2021"
L,Buffer Overflow,tensorflow-cpu,"[, 2.1.4),[2.2.0, 2.2.3),[2.3.0, 2.3.3),[2.4.0, 2.4.2)",pip,"2,May,2021"
L,Buffer Overflow,tensorflow,"[, 2.1.4),[2.2.0, 2.2.3),[2.3.0, 2.3.3),[2.4.0, 2.4.2)",pip,"2,May,2021"
L,Out-of-Bounds,tensorflow-gpu,"[, 2.1.4),[2.2.0, 2.2.3),[2.3.0, 2.3.3),[2.4.0, 2.4.2)",pip,"2,May,2021"
L,Out-of-Bounds,tensorflow-cpu,"[, 2.1.4),[2.2.0, 2.2.3),[2.3.0, 2.3.3),[2.4.0, 2.4.2)",pip,"2,May,2021"
L,Out-of-Bounds,tensorflow,"[, 2.1.4),[2.2.0, 2.2.3),[2.3.0, 2.3.3),[2.4.0, 2.4.2)",pip,"2,May,2021"
L,Out-of-Bounds,tensorflow-gpu,"[, 2.1.4),[2.2.0, 2.2.3),[2.3.0, 2.3.3),[2.4.0, 2.4.2)",pip,"2,May,2021"
L,Out-of-Bounds,tensorflow-cpu,"[, 2.1.4),[2.2.0, 2.2.3),[2.3.0, 2.3.3),[2.4.0, 2.4.2)",pip,"2,May,2021"
,,,,,
H,Denial of Service (DoS),ffmpeg,&gt;&#x3D;0.0.0,cocoapods,"2,Sep,2021"
H,Buffer Overflow,ffmpeg-up-to-date,&gt;&#x3D;0.0.0,cocoapods,"2,Sep,2021"
H,Buffer Overflow,ffmpeg,&gt;&#x3D;0.0.0,cocoapods,"2,Sep,2021"
H,Buffer Overflow,ffmpeg-up-to-date,&gt;&#x3D;0.0.0,cocoapods,"2,Sep,2021"
H,Buffer Overflow,ffmpeg,&gt;&#x3D;0.0.0,cocoapods,"2,Sep,2021"
H,Buffer Overflow,ffmpeg-up-to-date,&gt;&#x3D;0.0.0,cocoapods,"2,Sep,2021"
H,Buffer Overflow,ffmpeg,&gt;&#x3D;0.0.0,cocoapods,"2,Sep,2021"
H,Denial of Service (DoS),ffmpeg-up-to-date,&gt;&#x3D;0.0.0,cocoapods,"2,Sep,2021"
H,Denial of Service (DoS),ffmpeg,&gt;&#x3D;0.0.0,cocoapods,"2,Sep,2021"
H,Out-of-bounds Read,ffmpeg-up-to-date,&gt;&#x3D;0.0.0,cocoapods,"2,Sep,2021"
H,Out-of-bounds Read,ffmpeg,&gt;&#x3D;0.0.0,cocoapods,"2,Sep,2021"
H,Buffer Overflow,ffmpeg-up-to-date,&gt;&#x3D;0.0.0,cocoapods,"2,Sep,2021"
H,Buffer Overflow,ffmpeg,&gt;&#x3D;0.0.0,cocoapods,"2,Sep,2021"
H,Buffer Overflow,ffmpeg-up-to-date,&gt;&#x3D;0.0.0,cocoapods,"2,Sep,2021"
H,Buffer Overflow,ffmpeg,&gt;&#x3D;0.0.0,cocoapods,"2,Sep,2021"
H,Denial of Service (DoS),ffmpeg-up-to-date,&gt;&#x3D;0.0.0,cocoapods,"2,Sep,2021"
H,Denial of Service (DoS),ffmpeg,&gt;&#x3D;0.0.0,cocoapods,"2,Sep,2021"
H,Buffer Overflow,ffmpeg-up-to-date,&gt;&#x3D;0.0.0,cocoapods,"2,Sep,2021"
H,Buffer Overflow,ffmpeg,&gt;&#x3D;0.0.0,cocoapods,"2,Sep,2021"
H,Denial of Service (DoS),ffmpeg-up-to-date,&gt;&#x3D;0.0.0,cocoapods,"2,Sep,2021"
H,Denial of Service (DoS),ffmpeg,&gt;&#x3D;0.0.0,cocoapods,"2,Sep,2021"
M,Improper Input Validation,org.apache.santuario:xmlsec,"[2.2.0,2.2.3),[,2.1.7)",Maven,"2,Sep,2021"
H,Authentication Bypass,github.com/gravitational/teleport/lib/client,*,Go,"1,Sep,2021"
H,Authentication Bypass,github.com/gravitational/teleport/lib/auth,*,Go,"1,Sep,2021"
M,Prototype Pollution,zrender,&lt;5.2.1,npm,"1,Sep,2021"
M,Prototype Pollution,org.webjars.npm:zrender,"[0,]",Maven,"1,Sep,2021"
M,Prototype Pollution,org.webjars.bowergithub.ecomfe:zrender,"[0,]",Maven,"1,Sep,2021"
M,Prototype Pollution,org.webjars.bower:zrender,"[0,]",Maven,"1,Sep,2021"
M,Cross-site Scripting (XSS),materialize-css,*,npm,"1,Sep,2021"
M,Cross-site Scripting (XSS),org.webjars.npm:materialize-css,"[0,]",Maven,"1,Sep,2021"
,,,,,
H,Denial of Service (DoS),xlsx,&lt;0.17.0,npm,"1,Jun,2021"
H,Denial of Service (DoS),org.webjars.npm:xlsx,"[,0.17.0)",Maven,"1,Jun,2021"
M,Prototype Pollution,lutils,*,npm,"1,Jun,2021"
H,Denial of Service (DoS),xlsx,&lt;0.17.0,npm,"1,Jun,2021"
H,Denial of Service (DoS),org.webjars.npm:xlsx,"[,0.17.0)",Maven,"1,Jun,2021"
M,Access Restriction Bypass,org.jenkins-ci.plugins:p4,"[,1.11.5)",Maven,"1,Jun,2021"
M,Access Restriction Bypass,org.jenkins-ci.plugins:xray-connector,"[,2.4.1)",Maven,"1,Jun,2021"
M,Access Restriction Bypass,org.jenkins-ci.plugins:s3,"[,0.11.7)",Maven,"1,Jun,2021"
M,Cross-site Scripting (XSS),org.jenkins-ci.plugins:dashboard-view,"[,2.16)",Maven,"1,Jun,2021"
M,Access Restriction Bypass,org.jenkins-ci.plugins:s3,"[,0.11.7)",Maven,"1,Jun,2021"
H,Cross-site Request Forgery (CSRF),org.jenkins-ci.plugins:xray-connector,"[,2.4.1)",Maven,"1,Jun,2021"
M,Access Restriction Bypass,org.jenkins-ci.plugins:kubernetes-cli,"[,1.10.1)",Maven,"1,Jun,2021"
M,Cross-site Scripting (XSS),org.jenkins-ci.plugins:kiuwanjenkinsplugin,"[,1.6.1)",Maven,"1,Jun,2021"
M,Cross-site Scripting (XSS),moodle/moodle,&gt;&#x3D;0.0.0,Composer,"1,Jun,2021"
M,Cross-site Scripting (XSS),pagekit/pagekit,&gt;&#x3D;0.0.0,Composer,"1,Jun,2021"
C,Arbitrary Code Execution,phpmailer/phpmailer,&lt;6.5.0,Composer,"1,Jun,2021"
C,Arbitrary Code Execution,phpmailer/phpmailer,&lt;6.5.0,Composer,"1,Jun,2021"
H,Access Restriction Bypass,com.atlassian.connect:atlassian-connect-spring-boot-core,"[1.1.0,2.1.3),[2.1.4,2.1.5)",Maven,"1,Jun,2021"
H,Access Restriction Bypass,@apollosproject/data-connector-rock,&lt;2.20.0,npm,"1,Jun,2021"
M,Insecure Permissions,matrix-appservice-bridge,&lt;2.6.1,npm,"1,Jun,2021"
H,Denial of Service (DoS),valine,*,npm,"1,Jun,2021"
H,Denial of Service (DoS),org.apache.openmeetings:openmeetings-parent,"[4.0.0,]",Maven,"1,Jun,2021"
L,Improper Certificate Validation,openssl-static,&gt;&#x3D;0.0.0,cocoapods,"1,Jun,2021"
L,Improper Certificate Validation,openssl-osx,&gt;&#x3D;0.0.0,cocoapods,"1,Jun,2021"
L,Improper Certificate Validation,openssl,&gt;&#x3D;0.0.0,cocoapods,"1,Jun,2021"
H,XML External Entity (XXE) Injection,org.jdom:jdom2,"[0,]",Maven,"1,Jun,2021"
H,XML External Entity (XXE) Injection,org.jdom:jdom,"[0,]",Maven,"1,Jun,2021"
H,XML External Entity (XXE) Injection,org.opencastproject:opencast-workflow-service-api,"[,9.6)",Maven,"1,Jun,2021"
H,XML External Entity (XXE) Injection,org.opencastproject:opencast-userdirectory-sakai,"[,9.6)",Maven,"1,Jun,2021"
H,XML External Entity (XXE) Injection,org.opencastproject:opencast-userdirectory,"[,9.6)",Maven,"1,Jun,2021"
,,,,,
M,Arbitrary Code Execution,slo-generator,"[,2.0.1)",pip,"0,Oct,2021"
M,Cross-site Scripting (XSS),github.com/3xxx/engineercms/controllers,&lt;1.1.0,Go,"0,Oct,2021"
C,Arbitrary Code Execution,com.googlecode.aviator:aviator,"[0,]",Maven,"0,Oct,2021"
M,Cross-site Scripting (XSS),james-heinrich/getid3,&lt;1.9.21,Composer,"0,Oct,2021"
M,Cross-site Scripting (XSS),hjue/justwriting,&gt;&#x3D;0.0.0,Composer,"0,Oct,2021"
C,Command Injection,drt,"[0,]",pip,"0,Oct,2021"
C,Command Injection,python-openzwave,"[,0.4.19)",pip,"0,Oct,2021"
L,Cross-site Request Forgery (CSRF),nimview,"[,0.1.2)",pip,"0,Oct,2021"
H,Out-of-bounds Read,pillow,"[7.1.0, 8.3.2)",pip,"0,Oct,2021"
H,Command Injection,pydaisy,"[,0.2.4)",pip,"0,Oct,2021"
M,Insecure Encryption,pulpcore,"[,3.15.0)",pip,"0,Oct,2021"
M,Arbitrary File Read,imagemagick,&gt;&#x3D;0.0.0,cocoapods,"0,Oct,2021"
M,Cross-site Scripting (XSS),org.opencrx:opencrx-gradle,"[4.0.0, 5.2.0)",Maven,"0,Oct,2021"
M,Cross-site Scripting (XSS),org.opencrx:opencrx-core-models,"[4.0.0, 5.2.0)",Maven,"0,Oct,2021"
M,Cross-site Scripting (XSS),org.opencrx:opencrx-core-config,"[4.0.0, 5.2.0)",Maven,"0,Oct,2021"
M,Cross-site Scripting (XSS),org.opencrx:opencrx-core,"[4.0.0, 5.2.0)",Maven,"0,Oct,2021"
M,Cross-site Scripting (XSS),org.opencrx:opencrx-client,"[4.0.0, 5.2.0)",Maven,"0,Oct,2021"
M,Insufficient Hostname Verification,ch.qos.logback:logback-core,"[0,]",Maven,"0,Oct,2021"
H,Improper Authentication,parse-server,&lt;4.10.4,npm,"0,Oct,2021"
M,CSV Injection,shuup,"[, 2.11.0)",pip,"0,Oct,2021"
